;RF_Importance;PCA;RFE_Ranking;Mutual_Info
Store;0.002386787465118023;0.2408019524275118;5;1.6728884220758404
Type;5.216908793156656e-05;0.10287553791009703;28;0.39773309010764457
Size;0.004442333568701907;0.077792204556722;3;1.4479090537601698
Temperature;0.000446961884514027;0.0712167384131318;9;0.06026457392875706
Fuel_Price;0.0002560500136781427;0.051169986454635455;13;0.06938739924142556
MarkDown1;7.037856750062894e-05;0.04127063008287729;18;0.03298206562480077
MarkDown2;6.98663542110299e-05;0.03955541728888423;22;0.021396170464861086
MarkDown3;0.00013181666410571388;0.03864406512624203;19;0.03283058046402876
MarkDown4;5.578747827225962e-05;0.03748240477427435;17;0.02187073149787766
MarkDown5;9.535936438845922e-05;0.03440244447373534;15;0.05488790973679114
CPI;0.000581170512268308;0.0325666926409247;8;0.515497330413222
Unemployment;0.0004507410391826328;0.030321889192157406;10;0.6933790612091624
IsHoliday;0.00012968420480402595;0.027429691482876443;16;0.004038826632054349
Week;0.003652018714306749;0.025158266861551266;4;0.018046987394634506
Month;0.00012287017819547063;0.02385606090156947;20;0.059069606447269773
TotalMarkDown;5.087263474742906e-05;0.021012756616129263;23;0.07806448813463795
WeeksUntilHoliday;0.0016749651286046738;0.019245439249348264;6;0.00017718344893946636
Weekly_Sales_Lag_1;0.014291247066655837;0.018016075691346882;2;1.7429673952657603
Weekly_Sales_Lag_2;0.0003700026330924221;0.015611959942695975;14;1.5608546044679255
Weekly_Sales_Lag_3;0.00041221495196525385;0.014669719069081263;12;1.4583520915530794
Weekly_Sales_MA_2;0.968466225322858;0.014196308826723427;1;2.4126473707422447
Weekly_Sales_MA_3;0.0011822481686809168;0.009121824459713138;7;2.102382800894186
Weekly_Sales_MA_4;0.0002565350856981912;0.005138368629422663;11;1.980129464417765
Size_Categorical_1;1.351330440867041e-05;0.0029801489533977966;27;0.09711933757026348
Size_Categorical_2;2.3094748088897377e-05;0.0023590964939671413;26;0.13946313294099233
Size_Categorical_3;0.00018636117106984347;0.0018056114981985197;21;0.39562830914605596
CPI_Categorical_1;7.191142411309112e-05;0.0004284428932881881;25;0.0495478197652508
CPI_Categorical_2;3.70511230610487e-05;0.0002721865039904907;24;0.08776183163028817
Proximity_Holiday_1;9.03455065917903e-06;0.00023524262278115535;29;0.003489416887704877
Proximity_Holiday_2;2.3430832409263e-06;0.00017011032306230893;33;0.0023893590747463556
Proximity_Holiday_3;3.6710852866850825e-06;0.00013675120870886037;31;0.0018775634729086832
Proximity_Holiday_4;2.896833733483983e-06;5.5974430954068644e-05;30;0.0
Proximity_Holiday_5;1.8165868564915998e-06;3.30464380943972e-33;32;0.0002458634708946139
